"","Pathogen","Disease","AgeGroup","CostItem","median","5%","95%"
"927","Listeria monocytogenes","Listeriosis","65+","Pain and suffering",72582.4381463946,35154.8698056918,118613.678015936
"928","Listeria monocytogenes","Listeriosis","All ages","Premature mortality",47185026.0825744,33006405.1556685,65468741.048196
"929","Listeria monocytogenes","Listeriosis","All ages","HumanCapital",318965.851237983,158725.161666516,488569.451374329
"930","Listeria monocytogenes","Listeriosis","All ages","FrictionHigh",255172.680990387,126980.129333213,390855.561099464
"931","Listeria monocytogenes","Listeriosis","All ages","FrictionLow",95689.755371395,47617.5484999548,146570.835412299
"932","Listeria monocytogenes","Listeriosis","All ages","TotalHumanCapital",54363136.9369798,39683175.9159793,72993438.6825819
"933","Listeria monocytogenes","Listeriosis","All ages","TotalFrictionHigh",54301296.5896593,39624484.4667591,72919397.8129666
"934","Listeria monocytogenes","Listeriosis","All ages","TotalFrictionLow",54144039.3815246,39482232.2677606,72742199.3934356
"935","Listeria monocytogenes","Listeriosis","All ages","Direct",6746461.11376151,3369619.07805898,10141876.5842438
"936","Listeria monocytogenes","Listeriosis","All ages","Pain and suffering",118423.978028328,57357.9454724445,193527.579920738
"937","Listeria monocytogenes","Initial and sequel disease","<5","Premature mortality",13824151.2768023,7627046.11288344,23382893.5764746
"938","Listeria monocytogenes","Initial and sequel disease","<5","HumanCapital",16471.0240829505,8213.1312989165,24811.0641397354
"939","Listeria monocytogenes","Initial and sequel disease","<5","FrictionHigh",13176.8192663604,6570.5050391332,19848.8513117883
"940","Listeria monocytogenes","Initial and sequel disease","<5","FrictionLow",4941.30722488514,2463.93938967495,7443.31924192063
"941","Listeria monocytogenes","Initial and sequel disease","<5","TotalHumanCapital",14179264.1909744,7972498.4693993,23732529.9489717
"942","Listeria monocytogenes","Initial and sequel disease","<5","TotalFrictionHigh",14175877.2920162,7969655.30211382,23729139.4998206
"943","Listeria monocytogenes","Initial and sequel disease","<5","TotalFrictionLow",14168445.10143,7962419.02323759,23720847.6887018
"944","Listeria monocytogenes","Initial and sequel disease","<5","Direct",326426.105492457,163062.415853472,490749.916775909
"945","Listeria monocytogenes","Initial and sequel disease","<5","Pain and suffering",5730.19248524168,2775.38445834409,9364.23773810023
"946","Listeria monocytogenes","Initial and sequel disease","5-64","Premature mortality",3687923.24727176,1207125.55908471,8681035.25920594
"947","Listeria monocytogenes","Initial and sequel disease","5-64","HumanCapital",153178.788099031,76501.3275878482,230392.265965094
"948","Listeria monocytogenes","Initial and sequel disease","5-64","FrictionHigh",122543.030479225,61201.0620702785,184313.812772075
"949","Listeria monocytogenes","Initial and sequel disease","5-64","FrictionLow",45953.6364297094,22950.3982763544,69117.6797895282
"950","Listeria monocytogenes","Initial and sequel disease","5-64","TotalHumanCapital",6227486.59826691,3367508.83598209,11337071.915225
